glat,glon,risk,count,fatals,fatal_ratio,route_risk
43.645,-79.36,0.2209633907704609,1,0,0.0,0.19609946497056913
43.645,-79.35000000000001,0.17503411372496067,2,0,0.0,0.15894731408818155
43.645,-79.34,0.2190406442818217,3,0,0.0,0.20039482133037306
43.65,-79.605,0.09962066765213662,5,0,0.0,0.10200313494404924
43.65,-79.58,0.11780201225417658,8,0,0.0,0.12685639272083368
43.65,-79.57000000000001,0.20153894284188462,21,0,0.0,0.23888087467145913
43.65,-79.565,0.236232097766217,2,0,0.0,0.2124314685289085
43.65,-79.56,0.3018771062427966,5,4,0.8,0.6982631147689352
43.65,-79.55,0.1884096068207582,13,2,0.15384615384615385,0.28417604246154093
43.65,-79.54,0.17512238920510836,8,2,0.25,0.30804463336742427
43.65,-79.53,0.21107868378408903,22,2,0.09090909090909091,0.297876188968838
43.65,-79.525,0.17720189977456863,14,0,0.0,0.1966963341042577
43.65,-79.51,0.21650660268906735,2,2,1.0,0.7195640436540574
43.65,-79.505,0.10224733556211907,3,0,0.0,0.09832297273815531
43.65,-79.5,0.08309175199999258,5,0,0.0,0.08755764149640474
43.65,-79.495,0.10619521232635797,4,0,0.0,0.10476110410469941
43.65,-79.49,0.08708539616140974,6,0,0.0,0.09403577141155108
43.65,-79.485,0.12585713045272146,16,2,0.125,0.22334563728930104
43.65,-79.48,0.24666593339309487,15,0,0.0,0.2603924994804734
43.65,-79.47500000000001,0.1626226507768179,26,0,0.0,0.21980923459892335
43.65,-79.47,0.13085264856030365,5,5,1.0,0.6536701429954688
43.65,-79.46000000000001,0.18531261117155443,18,3,0.16666666666666666,0.30313149413954893
43.65,-79.45,0.13139108458862442,10,0,0.0,0.1447083478246627
43.65,-79.44500000000001,0.22834246914627995,17,3,0.17647058823529413,0.3428905886706601
43.65,-79.44,0.21836358474991963,38,3,0.07894736842105263,0.34577642959554816
43.65,-79.435,0.2653286019184039,20,6,0.3,0.44895367638957
43.65,-79.43,0.21626758138633473,26,4,0.15384615384615385,0.34736494983082894
43.65,-79.425,0.17932940426223662,20,0,0.0,0.2164829113565093
43.65,-79.42,0.23971592798077082,28,5,0.17857142857142858,0.38679868111705484
